name;link;author;description;;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;NCIS: Naval Criminal Investigative Service;'[''— Чому ти весь час за кермом?'', ''— Я б міг сказати, тому що я старший, але в основному тому, що я хочу жити.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;КВК;'[''Коли Олег побачив, що викрадають машину сусіда, він не розгубився, вибіг на вулицю і припаркувався на вільному місці.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;'Серіал «Доктор Хаус | House M.''D';'[''— Слухай, старий, ти взагалі коли-небудь машину водив?'', '' Тут є і четверта передача.'', ''— А ще тут є кнопка «Закрий рот».'''']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;100500;'[''Повинні працювати тверезі водії, але у нас таких немає.'', '' У нас всі нормальні хлопці.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Лузери (The Losers);'[''— Не подобається мені ця тачка.'', ''— Це класика!'', ''— Це класичне лайно!'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Роберт Орбен;'[''Як описуються машини в рекламних проспектах?'', '' «Хвилюючі», «ефектні», «витончені», «граціозні», «обтічної форми».'', '' Прямо не знаєш, куди їх вести — в гараж чи у номері мотелю.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Володимир Вишневський;'[''Ми довше паркувалися, ніж любили.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Форсаж 6 (Fast & Furious 6);'[''Покажи мені, як ти їздиш, і я скажу, хто ти.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Ільф і Петров —- радянські письменники.;'[''Треба зауважити, що автомобіль теж був винайдений пішоходами.'', '' Але автомобілісти про це якось відразу забули.'', '' Сумирних і розумних пішоходів стали тиснути.'', '' Вулиці, створені пішоходами, перейшли під владу автомобілістів.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;'''Похмурі тіні''';'[''У нас немає коней.'', '' У нас є Шевроле.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;КВК;'[''Знайдено спосіб утилізації автомобіля «Лада Калина».'', '' Виявляється, для знищення монстра треба вбити в двигун осиковий кілок.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html; Queer As Folk);'[''Хто сказав, що любов — це гладка дорога?'', '' «Дженерал моторс»?'', ''«Близькі друзі» (англ.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Ільф і Петров —- радянські письменники.;'[''Вдаримо автопробігом по бездоріжжю і нехлюйству.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;«Бережи́сь автомобі́ля» — радянський художній фільм.;'[''Кожен, у кого немає машини, мріє її купити.'', '' Кожен, у кого є машина, мріє її продати.'', '' І не робить це лише тому, що продавши, залишиться без машини.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Вітторіо де Сіка;'[''Аварії трапляються тому, що нинішні водії їздять по вчорашнім дорогам на завтрашніх автомобілях з післязавтрашньої швидкістю.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Top Gear;'[''Я вибираю слова для моїх висновків ще більш обережно, ніж зазвичай.'', '' Так ось.'', '' Серія 1 – лайно.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Top Gear;'[''Я не розумію смуги для автобусів.'', '' Чому бідні люди мусять добиратися до місця призначення швидше, ніж я?'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html; Про користь хороших дарунків;'[''— В цей багажник поміщається до трьох трупів.'', ''— А розрізаних на шматочки — чотири з половиною.'', ''Костянтин Костін.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Перевізник 3 (Transporter 3);'[''— У моїй справі багато залежить від машини.'', '' Ти дбаєш про тачку, а вона про тебе.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Марлен Дітріх;'[''Автомобіль — улюблена іграшка дорослих чоловіків.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Top Gear;'[''Цей Pagani Zonda як лев в помаранчевому комбінезоні.'', '' Начебто і лютий, але разом з цим сміхотворний.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html; Темний альянс;'[''Італійська машина.'', '' Гладка, витончена і сексуальна.'', ''Ліза Джейн Сміт.'', '' Щоденники вампіра.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html; Далі живіть самі;'[''Їздити на «порше» — це як секс з моделлю.'', '' Обгортка глянсова, а всередині все як зазвичай.'', ''Джонатан Троппер.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html; 402 метри;'[''Заводяться жінки.'', '' А мотори — пускаються.'', ''Костянтин Костін.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Джеремі Кларксон;'[''В Італії є тільки одне обмеження швидкості — це максимальна швидкість вашого автомобіля.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Сергій Сергійович Мінаєв;'[''Я сиджу, скорчившись в три погибелі, на задньому сидінні – місці для собак і нікчем.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Джеремі Кларксон;'[''Ненавиджу тюнінг вихлопу.'', '' Ці звуки так само фальшиві, як посмішка повії.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Jeanette Winterson;'"[''Можна мати спортивний автомобіль.'', "" Але ніколи не можна збільшити швидкість настільки, щоб з''їхати з дороги реальності.""]"';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html; Гонки на мокрому асфальті;'[''Машина їде туди, куди ти дивишся.'', ''Garth Stein.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Top Gear;'[''Коли вони сперечалися, на що схожий звук двигуна SLR, британські інженери з McLaren говорили, що він звучить як винищувач Спітфайр.'', '' А німецькі інженери з Mercedes відповідали: «Найн!'', '' Найн!'', '' Він звучить як Мессершмітт!'', ''».'', '' Всі вони були неправі.'', '' Він звучить як Бог Грому, прочищающий горло цвяхами!'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Джуліан Барнс;'['' якщо вони називаються позашляховиками, то чому, чорт візьми, їх повно на дорогах?'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Януш Вишневський;'[''В Німеччині субота починається з миття машин.'', '' Не миють тільки студенти, психічно хворі і комуністи.'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html;Фільм «Теорія Змови | Conspiracy Theory»;'[''Ти водиш, чи тобі просто подобається як ти виглядаєш в машині?'']';;
автомобілі;http://tsytaty.ukrayinskoyu.pro//avtomobili.html; Убивче літо;'[''Тепер ви розумієте, чому я, зрештою, не міг жити без неї.'', '' Вона тиснула на газ як ніхто на світі.'', ''Sébastien Japrisot.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html; Світанок;'[''Якщо ти не бачив пекла, це ще не означає, що його немає.'', ''Маєр Стефані.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Soul Eater;'[''Знаєте, де знаходиться пекло?'', '' Воно у вашій голові.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html; Колискова;'[''Може бути, ми потрапляємо в пекло не за ті вчинки, які скоїли.'', '' Може бути, ми потрапляємо в пекло за вчинки, які не вчинили.'', '' За справи, які не довели до кінця.'', ''Чак Поланік.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Олдос Гакслі;'[''А що, якщо наша Земля — пекло якоїсь іншої планети?'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Місто гріхів;'[''Пекло — прокидатися кожного ранку, не знаючи, якого біса ти топчеш землю.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html; Просто разом;'[''Пекло — це коли ти більше не можеш бачити тих, кого любиш.'', '' Все інше не вважається.'', ''Анна Гавальда.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Станіслав Єжи Лец;'[''Люди і до пекла доберуться.'', '' І освоять там найбагатші поклади сірки.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;«Надприродне | Supernatural»;'[''Пекло — забути, хто ти є.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Станіслав Єжи Лец;'[''Найважче підпалити пекло.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Трістан Бернар;'[''В раю, звісно, клімат краще, зате в пеклі набагато більш приємне товариство.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;«Куди приводять мрії | What Dreams May Come»;'[''Хороші люди закінчують в пеклі, тому що не можуть пробачити себе.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Пекельна Дівчина;'[''Справжнє пекло в самій людині.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Джоді Піколт;'[''Не втомлююся дивуватися, як самий звичайний день в мить перетворюється в суще пекло.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Вінстон Черчилль;'[''Якщо ви йдете крізь пекло, не зупиняйтеся.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;WarCraft III;'[''— Як там у пеклі, не похолодало?'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Станіслав Єжи Лец;'[''Хто звернув з дороги в пекло, того не злякає попередження: «це дорога в нікуди!'', ''»\n'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Царство небесне;'[''Як ти можеш бути в пеклі, якщо ти в моєму серці?'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Догма;'[''Всі ваші витівки задокументовані на небесах, а можливо і в пеклі!'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;«Безславні виродки | Inglourious Basterds»;'[''— В пеклі є спеціальна піч для тих, хто не допиває свій скотч!'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Пекельна Дівчина;'[''У будь-якому пеклі є своя богиня.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Захар Прилєпін;'[''Пекло — це коли вже неможливо терпіти, а померти — ще не дають.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Аль Капоне;'[''Пекло, повинно бути, кльове місце, раз малі, що релігію придумали, так хотіли, щоб туди, крім них, ніхто не потрапив.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;'Anthony O''Neill';'[''Найстрашніше пекло — це огида до себе.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Жан-Поль Сартр;'[''Пекло — це інші люди.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Сонна лощина;'[''Не шукайте пекло в іншому світі.'', '' Воно в нас, і тільки ми здатні його подолати.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html; Найкрасивіша Жінка в Місті;'[''У кожної людини своє особисте пекло, і не одне.'', ''Чарлз Буковскі.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html; Втрачений рай;'[''Краще царювати в Пеклі, ніж прислужувати на Небі.'', ''Джон Мілтон.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Борис Тененбаум;'[''Я хочу потрапити в пекло, а не в рай.'', '' Там я зможу насолоджуватися товариством пап, королів і герцогів, тоді як рай населений одними жебраками, ченцями і апостолами.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Бернард Шоу;'[''Вічні канікули — гарне визначення пекла.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Йоганн-Фрідріх Шиллер;'[''Я сам своє небо, я сам своє пекло.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Katharine Whitehorn;'[''В раю ми помремо з нудьги, в пеклі замучаем нудьгою чортів.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html; Знедолені;'[''Якщо можна уявити собі що-небудь страшніше пекла, де страждають, то це пекло, де сумують.'', ''Віктор Гюго.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;300 спартанців;'[''— Сьогодні ми вирушимо в пекло!'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;«Пліткарка | Gossip Girl»;'[''В пеклі є спеціальне місце для мене.'', '' Воно називається ТРОН.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;«Куди приводять мрії | What Dreams May Come»;'[''В пеклі існує реальна небезпека.'', '' втратити розум.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Джодха та Акбар;'[''Одного разу ангелів запитали: «На що схожий рай?'', ''», а вони відповіли: «Кожне серце, де є любов, є раєм!'', ''».'', '' Потім ангелів запитали: «Що таке пекло?'', ''», вони відповіли: «Серце без любові, ось справжнє пекло!'', ''»\n'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Дівчата Гілмор;'[''— Дідусь, що нового у світі сьогодні?'', ''— Як зазвичай — світ котиться в пекло.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html; Молодий місяць;'[''Якщо це пекло, я приймаю його з задоволенням.'', ''Стефені Маєр.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html; Серця в Атлантиді;'[''Коли помру, я зійду прямо на небо, тому що я вже відбув свій час в Пеклі.'', ''Стівен Кінг.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;'Японські прислів''я та приказки';'[''І пекло і рай в душі людини.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Стівен Кінг;'[''Ви можете витягти хлопця з пекельного вогню, але вам не вирвати пекельний вогонь з хлопця.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Клайв Стейплз Льюїс;'[''Пекло – це двері, що закриваються зсередини.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Касандра Клер;'[''Якщо я не можу опустити небеса, я підніму пекло.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;'Дев''ята брама';'[''В пеклі теж є свої герої.'']';;
пекло;http://tsytaty.ukrayinskoyu.pro//peklo.html;Retrum;'[''Пекло — це самотність і безмовність.'', '' В пеклі ти будеш абсолютно один.'', '' Про тебе ніхто не буде думати.'', '' Ти не будеш потрібен навіть самому собі.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Хенкок;'[''— Так ти подивися на себе, від тебе ж алкоголем за милю несе!'', ''— Тому що я пив, дура!'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Сімпсони (The Simpsons);'[''За алкоголь!'', '' Причину і вирішення всіх проблем.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Бернард Шоу;'[''Алкоголь — це анестезія, що дозволяє перенести операцію під назвою життя.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;'Grey''s Anatomy';'"[""Ненавиджу бути п''яною."", '' Думаєш, що тобі буде круто і весело, а насправді тобі сумно і погано.'']"';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Джек Лондон;'"[""П''яний здатний на такі справи, яких ніколи не узяв би, якщо б не випив.""]"';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html; Як я став ідіотом;'"[""Чим більше я п''ю, тим частіше мої глюки виявляються реальністю."", ''Мартен Паж.'']"';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Друзі (Friends);'"[''— Фібі, скільки можна пити?'', ''— Я допомагаю дітям!'', ''— Яким чином?'', ""— Чим більше я вип''ю, тим менше їм дістанеться!""]"';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;My Blueberry Nights;'"[''Яка гидота!'', "" Але її п''ють не для смаку, вірно?""]"';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;The Big Bang Theory;'"[""Провали в пам''яті — безкоштовний приз на дні кожної пляшки горілки.""]"';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Друзі (Friends);'"[""Коли я п''яний, мене важко утримати в рамках дружби.""]"';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html; Ключ з жовтого металу;'[''Ми відповідальні за тих, кого підпоїли.'', ''Макс Фрай.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Сальвадор Далі – «Щоденник одного генія»;'[''Алкоголь викликає короткочасне розширення судин і коло друзів.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;' ''Доктор Хаус (House M.'', '' D.''';'[''Алкоголь не змінює людину, а дозволяє бути собою!'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Універ;'[''Якщо немає грошей на те, щоб випити в клубі, треба випити до клубу.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Пірати Карибського моря: На краю Світу;'[''І все це я зробив, не випивши ні краплі рома!'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html; Романтичний егоїст;'[''Я вирішив більше ніколи не бути егоїстом, ні романтиком.'', '' Впевнений, що стану відмінним алкоголіком.'', ''Фредерік Беґбеде.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Інтерни;'"[""Ех, майстерність не проп''єш!"", '' Хоча спроби були.'']"';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Неадекватні люди;'"[""Давай вип''ємо за те, щоб я більше не пила!""]"';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Дон-Амінадо;'[''Після трьох чарок коньяку француз переходить на мінеральну воду, а москаль — на «ти».'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Друзі (Friends);'"[""— Батьки ніколи не бачили мене п''яною!"", '' Тобто вони так думають.'']"';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;The Lady Vanishes;'[''— Мені два подвійних віскі і два подвійних віскі, щоб запити попередні.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Іван Васильович міняє професію;'[''Я вимагаю продовження банкету!'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Книгарня Блека (Black Books);'"[""Знайти роботу і налагодити своє життя ти завжди встигнеш, а паб закривається через п''ять годин.""]"';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Supernatural;'[''Душу лікуємо — гробимо печінку.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Друзі (Friends);'[''З ним я відчуваю себе так, немов випила 10 коктейлів, а я випила всього 6!'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Копи на підхваті;'[''Я вчора так нажрався, що вранці взяв тюбик із зубною пастою за сніданок астронавта.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html; Романтичний егоїст;'[''Проблема в тому, що варто мені напитися, як я закохуюся.'', ''Фредерік Беґбеде.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Graham Joyce;'[''Взагалі книги для мене — що для інших випивка.'', '' Вони заглушають шум зовнішнього світу.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html; Хліб з шинкою;'[''Поки у людини є вино і сигарети, вона може багато чого винести.'', ''Чарлз Буковскі.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html; Тіні в раю;'[''Мені потрібна була не горілка, а хтось, хто ні про що не запитує, але тим не менше знаходиться поруч.'', ''Еріх Марія Ремарк.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Михайло Жванецький;'[''Алкоголь у малих дозах нешкідливий у будь-якій кількості.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Південний парк (South Park);'[''Похід без пива це.'', '' Це як рибалка без бухла.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Френк Сінатра;'[''Може, алкоголь і найлютіший ворог людини, але Біблія каже: «Люби своїх ворогів».'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Джордж Мур;'"[""Своїм здоров''ям і довголіттям я зобов''язаний тим, що ні разу не доторкнувся ні до сигарети, ні до чарки, ні до жінки, поки мені не виповнилося десять.""]"';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Михайло Задорнов;'"[""Те, що у п''яної жінки на розумі, у п''яного чоловіка ніколи не вийде.""]"';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Ернест Хемінгуей;'"[""Пиши п''яним, редагуй тверезим.""]"';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html; Windows on the World;'[''Алкоголь — він як любов: до чого ж добре на початку.'', ''Фредерік Беґбеде.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html; Щоденник;'[''Пара порцій спиртного.'', '' Пара таблеток аспірину.'', '' Повторити.'', ''Чак Паланік.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Джером Клапка Джером;'"[""Ми п''ємо за здоров''я один одного і псуємо власне здоров''я.""]"';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Ернест Хемінгуей;'[''Інтелігентна людина іноді напивається для того, щоб провести час зі своєю дурістю.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Діамантова рука;'"[""Шампанське зранку п''ють тільки або аристократи, або дегенерати.""]"';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html; Клініка Самотності;'[''Не то щоб їм хотілося напитися, просто дві самотні жінки, які зібралися на конференцію по темі «Всі мужики хами і в упор не бачать моїх достоїнств», без пляшки виглядають якось безглуздо.'', ''Марія Воронова.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Москва сльозам не вірить;'"[""Якесь п''яне шампанське.""]"';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Джером Селінджер;'[''Людина була витончена, але пила як кінь.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Семен Альтов;'[''Душа болить.'', '' Станеш лікувати — починає боліти печінка.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Харукі Муракамі;'[''Віскі — напій, який спочатку роздивляються.'', '' І лише коли набридне, пригублюють.'', '' Так само, як і красивих жінок.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Антон Павлович Чехов;'[''Горілка біла, але фарбує ніс і чорнить репутацію.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Сократ;'[''Пияцтво не народжує вад: воно їх виявляє.'', '' Щастя не змінює моралі: воно її підкреслює.'']';;
алкоголь;http://tsytaty.ukrayinskoyu.pro//alkohol.html;Чак Поланік;'"["" поодинці п''ють тільки невдахи.""]"';;
